tt0000180	short	Le chemin de croix	Le chemin de croix	0	1898	\N	\N	Short
tt0001535	short	Castillo de Arampruña	Castillo de Arampruña	0	1911	\N	6	Short
tt0000829	short	A Convict's Sacrifice	A Convict's Sacrifice	0	1909	\N	11	Drama,Short
tt0001696	short	In the Days of '49	In the Days of '49	0	1911	\N	17	Short,Western
tt0000139	short	L'aveugle	L'aveugle	0	1897	\N	\N	Short
tt0001458	short	Wilful Peggy	Wilful Peggy	0	1910	\N	17	Comedy,Romance,Short
tt0001125	short	The Bad Man's Last Deed	The Bad Man's Last Deed	0	1910	\N	\N	Short,Western
tt0000871	short	Fools of Fate	Fools of Fate	0	1909	\N	11	Drama,Short
tt0001858	short	Un clair de lune sous Richelieu	Un clair de lune sous Richelieu	0	1911	\N	\N	Drama,Short
tt0001000	short	The Peachbasket Hat	The Peachbasket Hat	0	1909	\N	7	Comedy,Short
tt0000171	short	Une nuit agitée	Une nuit agitée	0	1897	\N	\N	Comedy,Short
tt0001977	short	When Two Hearts Are Won	When Two Hearts Are Won	0	1911	\N	\N	Comedy,Drama,Romance
tt0000528	short	Raffles, the Amateur Cracksman	Raffles, the Amateur Cracksman	0	1905	\N	15	Adventure,Romance,Short
tt0001908	short	The Surgeon's Temptation	The Surgeon's Temptation	0	1911	\N	\N	Drama,Short
tt0000988	short	The Short-Sighted Governess	Den nærsynede guvernante	0	1909	\N	2	Comedy,Short
tt0001585	short	The Doctor	The Doctor	0	1911	\N	\N	Drama,Short
tt0000881	short	Le glas du père Césaire	Le glas du père Césaire	0	1909	\N	\N	Short
tt0001257	short	The House of the Seven Gables	The House of the Seven Gables	0	1910	\N	\N	Drama,Short,Thriller
tt0001759	short	Ludwig from Germany	Ludwig from Germany	0	1911	\N	\N	Comedy,Short
tt0000306	short	Le duel d'Hamlet	Le duel d'Hamlet	0	1900	\N	2	Drama,Short
tt0001012	short	The Ranchman's Rival	The Ranchman's Rival	0	1909	\N	\N	Short,Western
tt0001656	short	The Heiress	The Heiress	0	1911	\N	\N	Drama,Romance,Short
tt0001242	short	Hamlet	Hamlet	0	1908	\N	\N	Drama,Short
tt0001867	short	The Ruling Passion	The Ruling Passion	0	1911	\N	18	Drama,Short
tt0001583	short	La digue	La digue	0	1911	\N	\N	Drama,Short
tt0000898	short	His Lost Love	His Lost Love	0	1909	\N	11	Drama,Short
tt0001213	short	The Fence on 'Bar Z' Ranch	The Fence on 'Bar Z' Ranch	0	1910	\N	\N	Short,Western
tt0001019	short	The Road Agents	The Road Agents	0	1909	\N	\N	Short,Western
tt0000507	short	Departure of Peary and the Roosevelt from New York	Departure of Peary and the Roosevelt from New York	0	1905	\N	\N	News,Short
tt0001188	short	The Dumb Half Breed's Defense	The Dumb Half Breed's Defense	0	1910	\N	\N	Short,Western
tt0000862	movie	Faldgruben	Faldgruben	0	1909	\N	\N	\N
tt0000031	short	Jumping the Blanket	Le saut à la couverture	0	1895	\N	1	Documentary,Short
tt0001638	short	The General's Daughter	The General's Daughter	0	1911	\N	\N	Drama,Short
tt0001560	short	The Cowboy Coward	The Cowboy Coward	0	1911	\N	\N	Short,Western
tt0000478	short	Behind the Scenes	Behind the Scenes	0	1904	\N	\N	Comedy,Short
tt0001043	movie	Smith's Knockabout Theatre	Smith's Knockabout Theatre	0	1909	\N	\N	\N
tt0000057	short	Cortège de tzar allant à Versailles	Cortège de tzar allant à Versailles	0	1896	\N	\N	Documentary,Short
tt0001757	short	The Lucky Card	The Lucky Card	0	1911	\N	\N	Short,Western
tt0001927	short	Three Sisters	Three Sisters	0	1911	\N	17	Drama,Romance,Short
tt0000642	short	The Bandit's Waterloo	The Bandit's Waterloo	0	1908	\N	12	Action,Short
tt0000103	short	Smarter than the Teacher	Plus fort que le maître	0	1896	\N	\N	Short
tt0000768	short	Svend Dyrings hus	Svend Dyrings hus	0	1908	\N	\N	Short
tt0000027	short	Cordeliers' Square in Lyon	Place des Cordeliers à Lyon	0	1895	\N	1	Documentary,Short
tt0000312	short	Le lapin	Le lapin	0	1900	\N	\N	Short
tt0000483	short	Les deux rivaux	Les deux rivaux	0	1904	\N	\N	Comedy,Short
tt0000230	short	Cinderella	Cendrillon	0	1899	\N	6	Drama,Family,Fantasy
tt0000288	short	La concierge	La concierge	0	1900	\N	1	Comedy,Short
tt0000354	short	Exercício de Artilharia no Hipódromo de Belém	Exercício de Artilharia no Hipódromo de Belém	0	1901	\N	\N	Documentary,Short
